"year","month","approve","unemp"
1982,10,0.58553272485733,7.90000009536743
1982,11,0.483125001192093,8.39999961853027
1982,12,0.50787216424942,9.10000038146973
1983,1,0.532619297504425,10.1999998092651
1983,2,0.564651191234589,10.3999996185303
1983,3,0.586073100566864,9.80000019073486
1983,4,0.607495069503784,9.19999980926514
1983,5,0.57837301492691,8.80000019073486
1983,6,0.553379058837891,8.69999980926514
1983,7,0.598150074481964,8.89999961853027
1983,8,0.58159738779068,8.89999961853027
1983,9,0.565044701099396,8.60000038146973
1983,10,0.537373721599579,8.69999980926514
1983,11,0.551463663578033,8.80000019073486
1983,12,0.559947609901428,9.5
1984,1,0.568431556224823,10.1999998092651
1984,2,0.554054081439972,10.1999998092651
1984,3,0.540785491466522,9.60000038146973
1984,4,0.55858588218689,9.10000038146973
1984,5,0.525676965713501,8.60000038146973
1984,6,0.454802274703979,8.5
1984,7,0.50237637758255,8.89999961853027
1984,8,0.549950540065765,8.89999961853027
1984,9,0.546798050403595,8.60000038146973
1984,10,0.528056085109711,8.60000038146973
1984,11,0.518367350101471,8.80000019073486
1984,12,0.50811356306076,9.39999961853027
1985,1,0.61904764175415,10.6000003814697
1985,2,0.584527194499969,10.5
1985,3,0.599809885025024,10
1985,4,0.590952813625336,9.30000019073486
1985,5,0.593572795391083,8.80000019073486
1985,6,0.59171599149704,8.69999980926514
1985,7,0.576509356498718,9
1985,8,0.561302661895752,8.89999961853027
1985,9,0.592929303646088,8.69999980926514
1985,10,0.599607467651367,8.60000038146973
1985,11,0.598462998867035,8.89999961853027
1985,12,0.58817732334137,9.39999961853027
1986,1,0.537126302719116,10.3999996185303
1986,2,0.556207239627838,10.3999996185303
1986,3,0.526892423629761,9.80000019073486
1986,4,0.544731616973877,9
1986,5,0.501498520374298,8.5
1986,6,0.541095912456512,8.39999961853027
1986,7,0.579961478710175,8.60000038146973
1986,8,0.575498580932617,8.5
1986,9,0.583203852176666,8.19999980926514
1986,10,0.590909063816071,8.10000038146973
1986,11,0.624502003192902,8.30000019073486
1986,12,0.564870238304138,8.89999961853027
1987,1,0.601344883441925,10
1987,1,0.601344883441925,10
1987,2,0.602330029010773,10
1987,3,0.603362798690796,9.60000038146973
1987,4,0.604395627975464,8.80000019073486
1987,5,0.582291662693024,8.30000019073486
1987,6,0.602843582630157,8.30000019073486
1987,7,0.555552005767822,8.69999980926514
1987,8,0.508260428905487,8.60000038146973
1987,9,0.5625,8.39999961853027
1987,10,0.511605441570282,8.30000019073486
1987,11,0.513999998569489,8.5
1987,12,0.730358898639679,9.19999980926514
1988,1,0.424007743597031,9.89999961853027
1988,2,0.46542826294899,9.89999961853027
1988,3,0.428982734680176,9.60000038146973
1988,4,0.429859727621078,8.89999961853027
1988,5,0.405840873718262,8.39999961853027
1988,6,0.381514251232147,8.39999961853027
1988,7,0.350119680166245,8.60000038146973
1988,8,0.318725109100342,8.5
1988,9,0.451710253953934,8.10000038146973
1988,10,0.458661407232285,8
1988,11,0.41141140460968,8.10000038146973
1988,12,0.382765531539917,8.5
1989,1,0.388777554035187,9
1989,2,0.396414339542389,8.89999961853027
1989,3,0.389830499887466,8.39999961853027
1989,4,0.389637291431427,7.90000009536743
1989,5,0.458669364452362,7.59999990463257
1989,6,0.50900000333786,7.40000009536743
1989,7,0.520727157592773,7.69999980926514
1989,8,0.532454371452332,7.5
1989,9,0.511247456073761,7.30000019073486
1989,10,0.561546266078949,7.30000019073486
1989,11,0.552104234695435,7.59999990463257
1989,12,0.6346555352211,8
1990,1,0.630478084087372,8.39999961853027
1990,2,0.668705403804779,8.19999980926514
1990,3,0.638104856014252,7.69999980926514
1990,4,0.64653468132019,7.30000019073486
1990,5,0.634615361690521,7
1990,6,0.631318151950836,6.90000009536743
1990,7,0.635117471218109,7.09999990463257
1990,8,0.638916730880737,6.90000009536743
1990,9,0.68699187040329,6.59999990463257
1990,10,0.72519838809967,6.5
1990,11,0.695652186870575,6.40000009536743
1990,12,0.670346915721893,6.80000019073486
1991,1,0.645041704177856,7.40000009536743
1991,2,0.545539915561676,7.5
1991,3,0.50862067937851,7.09999990463257
1991,4,0.505418717861176,7
1991,5,0.531914889812469,6.90000009536743
1991,6,0.512778222560883,6.80000019073486
1991,7,0.565573751926422,7.69999980926514
1991,8,0.52482271194458,7.69999980926514
1991,9,0.555555582046509,7.40000009536743
1991,10,0.454545468091965,7.40000009536743
1991,11,0.413043469190598,7.40000009536743
1991,12,0.47906681895256,7.80000019073486
1992,1,0.545090198516846,9.10000038146973
1992,2,0.493440955877304,9
1992,3,0.487854242324829,8.5
1992,4,0.420100510120392,8.39999961853027
1992,5,0.398999989032745,8.10000038146973
1992,6,0.337101757526398,8.10000038146973
1992,7,0.353065550327301,8.60000038146973
1992,8,0.346102446317673,8.5
1992,9,0.339139342308044,8.19999980926514
1992,10,0.376008063554764,8.30000019073486
1992,11,0.366666674613953,8.39999961853027
1992,12,0.359251976013184,8.89999961853027
1993,1,0.279227048158646,9.89999961853027
1993,2,0.274924457073212,9.89999961853027
1993,3,0.288423150777817,9.60000038146973
1993,4,0.273556232452393,9.5
1993,5,0.324045419692993,9.30000019073486
1993,6,0.311271965503693,9.30000019073486
1993,7,0.314164012670517,10
1993,8,0.302600622177124,10
1993,9,0.291037261486053,9.89999961853027
1993,10,0.264914065599442,10.1000003814697
1993,11,0.299800783395767,10.1999998092651
1993,12,0.289855062961578,10.5
1994,1,0.314199388027191,11.5
1994,2,0.348004102706909,11.6000003814697
1994,3,0.340770781040192,11.1999998092651
1994,4,0.397948712110519,10.8999996185303
1994,5,0.416921496391296,10.5
1994,6,0.451041668653488,10.3000001907349
1994,7,0.469449013471603,10.6000003814697
1994,8,0.487856388092041,10.3999996185303
1994,9,0.515337407588959,10
1994,10,0.542134821414948,9.89999961853027
1994,11,0.455172419548035,9.80000019073486
1994,12,0.4785276055336,10.1999998092651
1995,1,0.455375254154205,11.1000003814697
1995,2,0.433884292840958,11
1995,3,0.448979586362839,10.6000003814697
1995,4,0.48870638012886,10.3999996185303
1995,5,0.49168398976326,10
1995,6,0.496919929981232,10
1995,7,0.516582906246185,10.3999996185303
1995,8,0.506271243095398,10.3000001907349
1995,9,0.495959609746933,10.1999998092651
1995,10,0.503567814826965,10.1999998092651
1995,11,0.490759760141373,10.3000001907349
1995,12,0.435305923223495,10.8999996185303
1996,1,0.390688270330429,12
1996,2,0.378406167030334,12.3000001907349
1996,3,0.363742679357529,11.8999996185303
1996,4,0.395372241735458,11.5
1996,5,0.443632572889328,11.1000003814697
1996,6,0.370672106742859,11
1996,7,0.361028671264648,11.3000001907349
1996,8,0.358192026615143,11.3000001907349
1996,9,0.355355352163315,11.1999998092651
1996,10,0.380081295967102,11.1999998092651
1996,11,0.37941786646843,11.3999996185303
1996,12,0.363184094429016,12
1997,1,0.303643733263016,13.5
1997,2,0.28453266620636,13.5
1997,3,0.309121608734131,13
1997,4,0.316393435001373,12.6000003814697
1997,5,0.303946256637573,12.3000001907349
1997,6,0.263361722230911,12.1999998092651
1997,7,0.271187037229538,12.6000003814697
1997,8,0.279012352228165,12.6999998092651
1997,9,0.320481926202774,12.5
1997,10,0.313586086034775,12.3999996185303
1997,11,0.272515535354614,12.5
1997,12,0.263029307126999,13.1000003814697
1998,1,0.264864861965179,14
1998,2,0.255161017179489,14
1998,3,0.311793208122253,13.3999996185303
1998,4,0.296610176563263,12.6999998092651
1998,5,0.316775232553482,12.1000003814697
1998,6,0.361928105354309,11.6999998092651
1998,7,0.350862771272659,11.8999996185303
1998,8,0.3924860060215,11.8000001907349
1998,9,0.398692816495895,11.3999996185303
